"title","body","rating","review_date","source","curated","reviewer_name","reviewer_email","product_id","product_handle","reply","reply_date","picture_urls","ip_address","location","metaobject_handle"
"","So glad they have this. Love you solatide","5","2026-03-18 17:56:27 UTC","wizard","ok","Wei W","example@examplejdkffnsdgds.com","15364113825958","5-amino-1mq-50mg","","","","123.103.205.110","Melbourne, Victoria, Australia","review-7fbe97da-6cf2-4021-8423-c4c26e8bc9ab"
"","Can't find this stuff anywhere for this price, been a customer of Solatide and they have very fair priicng and great quality so was happy to see they stock this","5","2026-03-18 17:53:53 UTC","wizard","ok","Chris","example@examplejdknsdgds.com","15364114677926","cagrisema-10mg","","","","123.103.205.110","Melbourne, Victoria, Australia","review-a674c25d-aa4e-45d4-866c-a2d2954933c9"
"","Had to wait a little longer for delivery but Solatide kept me informed the whole time. Was also so scared of the bank transfer but its normal for these things. Was very easy.","5","2026-04-09 15:24:46 UTC","wizard","ok","Chels","example@examplejdknsdgds.com","15364114088102","retatrutide-research-bundle-2-x-10mg","","","","123.103.205.110","Melbourne, Victoria, Australia","review-ed2a82e1-a00c-44ba-966d-63fe3950dd05"
"","Bit of a delay in shipping however they were fantastic and communicated very well. Sounds like a 1 off.","4","2026-04-09 15:21:30 UTC","wizard","ok","Anon","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","123.103.205.110","Melbourne, Victoria, Australia","review-78fb0d18-4b14-4fb6-9a6c-46c6a6ed0b19"
"","Cheap and great! 3rd order and great business. Don't be nervous of the bank transfer.","5","2026-04-09 15:26:31 UTC","wizard","ok","Anon","example@examplejdknsdgds.com","15364114186406","retatrutide-5mg","","","","123.103.205.110","Melbourne, Victoria, Australia","review-ea06f553-e63e-45a1-83b2-1eef43c8d7ce"
"love this company","Cheap and great! 3rd order and great business. Don't be nervous of the bank transfer.","5","2026-04-09 05:26:31 UTC","wizard","ok","Anon","example@examplejdknsdgds.com","15364114186406","retatrutide-5mg","","","","","","review-2d1f5eec-1407-4788-873b-639890946965"
"helpful","Solatide kept me informed of the shipping delay. Was also so scared of the bank transfer but its normal for these things. Was very easy.","5","2026-04-09 05:24:46 UTC","wizard","ok","Chels","example@examplejdknsdgds.com","15364114088102","retatrutide-research-bundle-2-x-10mg","","","","","","review-a9949c6a-922a-4f45-b8ef-2635bffbc006"
"Love this","So glad they have this. Love you solatide","5","2026-03-18 06:56:27 UTC","wizard","ok","Wei W","example@examplejdknsdgds.com","15364113825958","5-amino-1mq-50mg","","","","","","review-7d1781bf-d8d3-4edf-859b-9e70493d21a1"
"","Bit of a delay in shipping however they were fantastic and communicated very well. Sounds like a 1 off.","4","2026-04-09 05:21:30 UTC","wizard","ok","Anon","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","","","review-111e570d-373b-40a6-b898-8c95496a8d8b"
"Affordable","Can't find this stuff anywhere for this price, been a customer of Solatide and they have very fair priicng and great quality so was happy to see they stock this","5","2026-03-18 06:53:53 UTC","wizard","ok","Chris","example@examplejdknsdgds.com","15364114677926","cagrisema-10mg","","","","","","review-a3ea99ee-1e9b-48c2-9950-30b7106f6e1b"
"Clear and tidy","Everything was clear and tidy. Order email, payment email, tracking email.","5","2026-05-15 12:25:00 UTC","wizard","ok","Michael D","example@examplejdknsdgds.com","15364113989798","ss-31-elamipretide-10mg-lyophilised-peptide","","","","","","review-92f44026-9bdb-4a91-91d0-05669bba4697"
"Prompt reply","Prompt reply when I asked a question before paying.","5","2026-05-18 04:34:00 UTC","wizard","ok","Alex J","example@examplejdknsdgds.com","15364113760422","bpc-157-tb-500-blend-20mg","","","","","","review-3f53ab49-a870-4dbb-b007-8cc641641500"
"Easy","Good price, quick confirmation, no mucking around.","5","2026-05-17 08:25:00 UTC","wizard","ok","Nicole","example@examplejdknsdgds.com","15364114415782","tirzepatide-5mg","","","","","","review-072495f5-2c1d-40fd-b752-13954ca2c2f3"
"Good service","Bought from them heaps, thought they deserve a review! Very good stuff!","5","2026-05-15 09:30:00 UTC","wizard","ok","Mark T","example@examplejdknsdgds.com","15364114514086","tirzepatide-10mg","","","","","","review-1cfef9a4-21e8-44cf-910b-8412e04187ba"
"Would return","Will buy again!","5","2026-05-15 06:05:00 UTC","wizard","ok","Henry","example@examplejdknsdgds.com","15364114284710","retatrutide-30mg","","","","","","review-225e5bd6-150d-45df-9ac2-91b4d66de6cc"
"Exactly fine","Easy as process, nothing to be worried about","5","2026-05-06 11:24:00 UTC","wizard","ok","Ming L","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","","","review-2c189b35-1057-4468-a7f7-483ec62ceb73"
"Nice team","Nice team. I sent a question before ordering and got a normal human reply, which helped.","5","2026-05-12 08:06:00 UTC","wizard","ok","Sarah J","example@examplejdknsdgds.com","15364114284710","retatrutide-30mg","","","","","","review-e3b2ba9a-2e41-4476-aaa4-dde960b80d7e"
"Would buy again","Such a good price","5","2026-05-06 09:10:00 UTC","wizard","ok","Chris B","example@examplejdknsdgds.com","15364114677926","cagrisema-10mg","","","","","","review-5d70fffe-507c-4d4c-a403-64b60f2f6a0f"
"Will order again","Will order again :)","5","2026-05-15 03:07:00 UTC","wizard","ok","Maya","example@examplejdknsdgds.com","15364114514086","tirzepatide-10mg","","","","","","review-4fc17f5c-1a64-41e5-8fc8-e7756c0bcce0"
"Could explain earlier","Was nervous abou the bank transfer but was super easy","4","2026-05-11 11:23:00 UTC","wizard","ok","Anon 24","example@examplejdknsdgds.com","15364114415782","tirzepatide-5mg","","","","","","review-c8dcbedb-28f6-49b4-a2af-ab8c9e7d903f"
"Easy transfer","Easy transfer","5","2026-05-03 07:39:00 UTC","wizard","ok","Oscar","example@examplejdknsdgds.com","15364113858726","mots-c-10mg-lyophilised-peptide","","","","","","review-9cbdfb57-d5fb-40ce-8dfe-0274dc24a717"
"Nice price","Nice price for Sema 5. Easy enough.","5","2026-05-04 12:16:00 UTC","wizard","ok","Fiona","example@examplejdknsdgds.com","15364114546854","semaglutide-5mg","","","","","","review-96c9c435-aeca-4326-bdca-1719f23deca8"
"Good but manual","Manual bank transfer felt strange but was fine in the end","5","2026-05-04 03:47:00 UTC","wizard","ok","Verified buyer","example@examplejdknsdgds.com","15364114546854","semaglutide-5mg","","","","","","review-c5b92a68-0753-4188-911a-e0067bb274ac"
"Tiny criticism","Only tiny criticism is I had to check junk for one email. Otherwise happy.","4","2026-05-03 07:38:00 UTC","wizard","ok","Ryan","example@examplejdknsdgds.com","15364114514086","tirzepatide-10mg","","","","","","review-2c668b32-a0f7-40c4-8b76-81745bbb1084"
"Would recommend","If you are unsure about the bank transfer thing, I had no issue. Clear instructions, quick reply, and the order arrived properly packed.","5","2026-05-01 05:04:00 UTC","wizard","ok","Gareth","example@examplejdknsdgds.com","15364114546854","semaglutide-5mg","","","","","","review-09b63371-206f-4d1a-87f0-16276f08dc49"
"Smooth enough","Smooth enough. Slightly slower than paying by card but not hard.","4","2026-04-27 10:39:00 UTC","wizard","ok","E. Walker","example@examplejdknsdgds.com","15364114546854","semaglutide-5mg","","","","","","review-c19663ca-28ca-45f7-8f02-a0d93a87b982"
"Pretty decent","Pretty decent overall. I would prefer card payment, but the transfer was easy enough and everything was confirmed.","4","2026-04-30 03:55:00 UTC","wizard","ok","Private buyer","example@examplejdknsdgds.com","15364114186406","retatrutide-5mg","","","","","","review-c0cfa7b7-b6f6-4935-90fc-dda62d6e1f62"
"Thanks","thanks guys, really happy!","5","2026-04-27 14:55:00 UTC","wizard","ok","Tina N","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","","","review-e460f436-0600-4010-bb21-b56fab693f7c"
"goated","So good!","5","2026-05-01 03:00:00 UTC","wizard","ok","Mei","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","","","review-b17493bc-9ed3-4de5-a730-578776abf258"
"Clear emails","Emails were clear and not full of waffle. Good price too.","5","2026-04-13 07:43:00 UTC","wizard","ok","Tahlia","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","","","review-3b83be6c-99a2-4fc6-bc44-a39a29907123"
"Easy choice","Easy choice after comparing prices. Bank transfer was fine.","5","2026-04-04 03:42:00 UTC","wizard","ok","Monique","example@examplejdknsdgds.com","15364113629350","bacteriostatic-water-10ml","","","","","","review-9df00130-5f0b-40d0-b31f-2ae980908f2c"
"Very happy","Very happy :)","5","2026-04-20 12:47:00 UTC","wizard","ok","Prefer not to say","example@examplejdknsdgds.com","15364113760422","bpc-157-tb-500-blend-20mg","","","","","","review-35424471-202c-457c-a9db-67e49bc747f9"
"Cheaper option","Cheaper than the other places I looked at !","5","2026-04-07 02:31:00 UTC","wizard","ok","Priya S","example@examplejdknsdgds.com","15364114186406","retatrutide-5mg","","","","","","review-f08ee7de-3cb9-443f-bade-b72443eb8fc4"
"Happy enough","Shipping was delayed but that was ausposts fault, otherwise everythign was great","4","2026-04-10 04:44:00 UTC","wizard","ok","Jun","example@examplejdknsdgds.com","15364113825958","5-amino-1mq-50mg","","","","","","review-daba67ca-2e28-40fe-a4c3-4c8fa2079256"
"Positive","Positive experience from me.","5","2026-04-26 11:11:00 UTC","wizard","ok","Mina","example@examplejdknsdgds.com","15364114284710","retatrutide-30mg","","","","","","review-09ed6d6a-0638-4fe8-a12e-792520f59dc9"
"Reasonable","Reasonable prices and a straightforward process.","5","2026-04-08 06:00:00 UTC","wizard","ok","James F","example@examplejdknsdgds.com","15364114088102","retatrutide-research-bundle-2-x-10mg","","","","","","review-c2a7ea36-e36a-4fc2-bd0f-445e96efce64"
"Decent","So good! Payment was fine, vials are clear, will return","5","2026-04-04 01:11:00 UTC","wizard","ok","Andrew K","example@examplejdknsdgds.com","15364113399974","ghk-cu-50mg","","","","","","review-e9ac563e-9521-4a63-ad18-19a4af9cdd91"
"Legitamate business","Sensible pricing, been buying from them for a while","5","2026-04-01 06:57:00 UTC","wizard","ok","Tony","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","","","review-58c14bb7-b213-4d83-8233-75752364e2d1"
"Happy with it","Happy with it, thank you.","5","2026-03-24 03:08:00 UTC","wizard","ok","Benji","example@examplejdknsdgds.com","15364114415782","tirzepatide-5mg","","","","","","review-c0b713e0-dc42-4dcd-bba6-0f0ddc31d0bc"
"Good supplier","Good supplier. Pricing is competitive and the support felt normal, not sketchy.","5","2026-03-26 05:55:00 UTC","wizard","ok","Sam R","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","","","review-185222c3-a37b-4111-b987-73315d41e60d"
"Easy enough","Easy enough to order. I liked that the payment instructions were written clearly.","5","2026-03-21 04:01:00 UTC","wizard","ok","Anon customer","example@examplejdknsdgds.com","15364114415782","tirzepatide-5mg","","","","","","review-0715d8f8-5932-4100-8849-a702faf2b9b5"
"No problems","No problems here. Would order again.","5","2026-03-15 00:10:00 UTC","wizard","ok","Riley","example@examplejdknsdgds.com","15364114514086","tirzepatide-10mg","","","","","","review-d0fe1d51-3d9a-4e73-ad9d-75d02abb6e2e"
"Good but no card","Would be better with card checkout, but for the saving I did not mind doing bank transfer.","4","2026-03-22 05:56:00 UTC","wizard","ok","Jason","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","","","review-802f9fa6-37cc-4d17-866c-87234f7598b5"
"Nervous at first","Was a bit nervous about bank transfer, not gonna lie. They sent the details clearly and the confirmation came through once it landed, so it was fine.","5","2026-03-12 13:55:00 UTC","wizard","ok","Jess M","example@examplejdknsdgds.com","15364114546854","semaglutide-5mg","","","","","","review-612bfd5c-5202-44a0-ba90-4216934eb023"
"Trustworthy","Trustworthy from my experience. They confirmed payment and sent tracking like they said they would.","5","2026-03-17 03:45:00 UTC","wizard","ok","George","example@examplejdknsdgds.com","15364114186406","retatrutide-5mg","","","","","","review-7f499684-5cbf-4d0d-9c8a-bd660c04733a"
"Easy order","Bought heaps and they took care of me, got a custom order","5","2026-03-14 23:13:00 UTC","wizard","ok","Tara","example@examplejdknsdgds.com","15364114514086","tirzepatide-10mg","","","","","","review-08b11a59-95d7-49d7-9bd0-da0db2547c59"
"Would tell a friend","Would tell a friend to use them. The payment part seems scarier than it is.","5","2026-02-26 06:18:00 UTC","wizard","ok","Kim T","example@examplejdknsdgds.com","15364114186406","retatrutide-5mg","","","","","","review-4cab89d5-4191-4348-a0b7-e878fd0977b1"
"Human support","Felt like there was an actual person behind the store. Good product too!!","5","2026-03-05 08:07:00 UTC","wizard","ok","Bec","example@examplejdknsdgds.com","15364113596582","bpc-157-10mg","","","","","","review-c48f454e-dd12-4b1b-836a-60bb7d69b24d"
"Good experience","Good experience overall. The price was fair and the order updates were clear.","5","2026-03-08 13:08:00 UTC","wizard","ok","Kai","example@examplejdknsdgds.com","15364114415782","tirzepatide-5mg","","","","","","review-f7545c58-c4dd-443f-9a95-c8cfe60ea4cf"
"Simple and cheap","Simple and cheap compared to what I had seen elsewhere.","5","2026-03-14 05:35:00 UTC","wizard","ok","Peter C","example@examplejdknsdgds.com","15364114514086","tirzepatide-10mg","","","","","","review-bbc942ea-6391-471f-9807-2c3a4acc0ae6"
"Legit people","It was easy and I am happy.","5","2026-02-20 08:43:00 UTC","wizard","ok","Nina","example@examplejdknsdgds.com","15364114251942","retatrutide-10mg","","","","","","review-4b7bab2b-7ba6-47b4-867a-f4de0ad01074"
"Better than expected","Better than expected. I thought the bank transfer would be a pain, but it took two minutes.","5","2026-02-21 00:03:00 UTC","wizard","ok","Jade","example@examplejdknsdgds.com","15364114415782","tirzepatide-5mg","","","","","","review-994af409-1907-4e6b-89a6-7ea19a42d2b7"
"Solid overall","Could be a bit faster with payment but I got it the same day.","4","2026-02-25 13:52:00 UTC","wizard","ok","Bao","example@examplejdknsdgds.com","15364113531046","tb-500-10mg","","","","","","review-237ed9b5-14d6-45c2-9a7c-9da5862785f1"
"Easy decision","Easy decision for the price. The transfer step was not hard.","5","2026-01-13 01:48:00 UTC","wizard","ok","Victor","example@examplejdknsdgds.com","15364114186406","retatrutide-5mg","","","","","","review-1729fad5-172c-4652-8801-7df99fd91d90"
"GOOD!","Got my wholoe family onto it lol","5","2026-02-23 10:19:00 UTC","wizard","ok","Nathan B","example@examplejdknsdgds.com","15364114284710","retatrutide-30mg","","","","","","review-4c3390cd-6a8f-453d-ad99-8c1ad0c269ff"
"Good value","Good value for Tirz 5. Will use again if the pricing stays like this.","5","2026-02-18 11:29:00 UTC","wizard","ok","Sophie K","example@examplejdknsdgds.com","15364114415782","tirzepatide-5mg","","","","","","review-46c12f18-4234-4c5a-9d36-79a378fe0937"
"Worth using","Worth using if you care about price and clear communication.","5","2026-02-11 08:31:00 UTC","wizard","ok","Will S","example@examplejdknsdgds.com","15364114284710","retatrutide-30mg","","","","","","review-1bea2741-eb23-412b-8c3f-3054cd6c5d59"
"Customer to customer","To anyone hesitating, I was the same. It was fine, just follow the payment instructions","5","2026-02-08 06:44:00 UTC","wizard","ok","Leah W","example@examplejdknsdgds.com","15364113596582","bpc-157-10mg","","","","","","review-138810a2-b168-4298-b126-020518271597"
"Good comms","Good comms, especially around payment. That was the part I was unsure about.","5","2026-01-15 05:02:00 UTC","wizard","ok","Hannah","example@examplejdknsdgds.com","15364114514086","tirzepatide-10mg","","","","","","review-c6f63afb-d07f-400d-b8eb-3542916659e5"
"Happy customer","Happy customer!!","5","2026-02-10 04:44:00 UTC","wizard","ok","Luke R","example@examplejdknsdgds.com","15364113629350","bacteriostatic-water-10ml","","","","","","review-c1343f16-7ef0-4885-864b-4380d5aa19db"
"Straightforward","Straightforward from start to finish. I appreciated the clear bank details and order reference.","5","2026-01-30 09:04:00 UTC","wizard","ok","Jenny","example@examplejdknsdgds.com","15364114645158","cagrilintide-5mg","","","","","","review-d760eb56-6fc2-4cc5-a5e2-aa158fa8978f"
"Good first impression","Good first impression. The confirmation after payment made me feel better.","5","2026-01-07 00:36:00 UTC","wizard","ok","Elise","example@examplejdknsdgds.com","15364113531046","tb-500-10mg","","","","","","review-0f1a781e-7a97-42de-8f29-6524f73d677b"
"Clear pricing","Clear pricing, which I appreciated. No surprise costs after checkout.","5","2026-01-28 04:46:00 UTC","wizard","ok","Patrick","example@examplejdknsdgds.com","15364114186406","retatrutide-5mg","","","","","","review-00834e59-8e55-4856-a8e2-c1131157ed90"
"Simple","All good, arrived safely.","5","2026-01-05 10:49:00 UTC","wizard","ok","Amanda","example@examplejdknsdgds.com","15364114415782","tirzepatide-5mg","","","","","","review-735cdfd8-01b0-40fb-8dc6-ffd49eb44f62"
"Legit!","was lowkey worried about the payment but it was actually fine!! happy with the order :)","5","2026-01-14 03:38:00 UTC","wizard","ok","Brendan","example@examplejdknsdgds.com","15364114546854","semaglutide-5mg","","","","","","review-ebcc6cff-701b-4b03-b377-a1bc11a17984"
"Good packaging","Packed well and arrived without any drama.","5","2025-12-17 23:39:00 UTC","wizard","ok","Rina","example@examplejdknsdgds.com","15364114153638","retatrutide-research-bundle-2-x-5mg","","","","","","review-4352b0a0-a5d0-45ac-914a-77e5ce5af771"
"No dramas","No dramas at all!!","5","2026-01-02 00:32:00 UTC","wizard","ok","Steve H","example@examplejdknsdgds.com","15364114284710","retatrutide-30mg","","","","","","review-1391e153-3450-45dd-aee4-9f5fce9a22f7"
"Clean process","Clean ordering process. No confusion around what to put in the payment reference either.","5","2026-01-10 01:59:00 UTC","wizard","ok","Noah G","example@examplejdknsdgds.com","15364114088102","retatrutide-research-bundle-2-x-10mg","","","","","","review-318141d5-a517-4d1a-b7dd-209dd9f96328"
"Happy with price","Happy with the price. That was the main thing for me.","5","2025-12-18 08:40:00 UTC","wizard","ok","Amelia","example@examplejdknsdgds.com","15364114677926","cagrisema-10mg","","","","","","review-0a2bd51e-397a-4389-871c-a4195776c47d"
"No issue","No issue with the Cagrilintide order. Payment and tracking were both clear.","5","2026-01-09 07:31:00 UTC","wizard","ok","Robert M","example@examplejdknsdgds.com","15364114645158","cagrilintide-5mg","","","","","","review-0fe54e2a-937b-40d3-ae84-56d29b75975e"
